# METADATA:
# 000AA: Castels
# Source: www.infoclimat.fr
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;humidite;point_de_rosee;vent_moyen;vent_rafales;vent_direction;pluie_3h;pluie_1h
station_id;dh_utc;degC;hPa;%;degC;km/h;km/h;deg;mm;mm
000AA;2022-11-22 13:00:00;10.2;1004.9;91;8.8;4.8;;223;0;0
000AA;2022-11-22 13:30:00;10;1004.6;90;8.4;4.8;;207;;
000AA;2022-11-22 14:00:00;10.1;1004.4;92;8.9;4.8;;215;0;0.2
000AA;2022-11-22 14:30:00;10.2;1004.2;91;8.8;3.2;;240;;
000AA;2022-11-22 15:00:00;9.8;1003.8;91;8.4;3.2;;88;0.2;0
000AA;2022-11-22 15:30:00;9.5;1003.7;91;8.1;3.2;;202;;
000AA;2022-11-22 16:00:00;9.1;1003.8;92;7.9;1.6;;162;0;0
000AA;2022-11-22 16:30:00;8.9;1003.9;93;7.8;3.2;;132;;
000AA;2022-11-22 17:00:00;8.8;1003.6;94;7.9;3.2;;144;0;0
000AA;2022-11-22 17:30:00;8.8;1003.6;94;7.9;3.2;;168;;
000AA;2022-11-22 18:00:00;8.7;1003.8;95;8;3.2;;155;0.2;0.2
000AA;2022-11-22 18:30:00;8.7;1003.8;96;8.1;1.6;;183;;
000AA;2022-11-22 19:00:00;8.6;1003.9;96;8;1.6;;198;0;0.8
000AA;2022-11-22 19:30:00;8.6;1003.8;97;8.2;1.6;;186;;
000AA;2022-11-22 20:00:00;8.7;1003.9;97;8.2;1.6;;90;0;1.2
000AA;2022-11-22 20:30:00;8.7;1003.7;97;8.3;0;;90;;
000AA;2022-11-22 21:00:00;8.7;1003.5;97;8.3;1.6;;85;2.8;0.8
000AA;2022-11-22 21:30:00;8.7;1003.6;97;8.2;1.6;;259;;
000AA;2022-11-22 22:00:00;8.6;1003.1;96;8;1.6;;96;0;0.8
000AA;2022-11-22 22:30:00;8.6;1003;96;8;3.2;;78;;
000AA;2022-11-22 23:00:00;8.6;1002.8;97;8.2;1.6;;69;0;0.2
000AA;2022-11-22 23:30:00;8.7;1001.8;97;8.3;3.2;;148;;
000AA;2022-11-23 00:00:00;8.7;1001.9;97;8.2;1.6;;290;0;0
000AA;2022-11-23 00:30:00;8.5;1001.2;97;8.1;3.2;;238;;
